"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"raw","includeAll","database/tables/REGIONS.sql","2023-02-23T13:03:54.147","2","EXECUTED","8:d43c1f03ce2691631319b8ee86e15196","sql","","","4.19.0","()","","7153834099"
"raw","includeAll","database/constraints/REGIONS.sql","2023-02-23T13:03:54.152","4","EXECUTED","8:ade6f0436672e8f3ad3bfc30dd202096","sql","","","4.19.0","()","","7153834099"
"raw","includeAll","database/views/REGIONS_V.sql","2023-02-23T13:03:54.156","6","EXECUTED","8:6117db7f3b8a2e0a99fff98801ce7620","sql","","","4.19.0","()","","7153834099"
"raw","includeAll","database/procedures/SECURE_DML.sql","2023-02-23T13:03:54.161","8","EXECUTED","8:0e6712d9cf6b237fb21d23da559cbe68","sql",,"","4.19.0","()",,"7153834099"
